"ID";"N_LAB";"AREA";"LONG";"LAT";"NUM_CAMPO";"PROJETO";"CLASSE";"Lab";"BASE";"AG_PPM";"AS_PPM";"AU_PPM";"B_PPM";"BA_PPM";"BE_PPM";"BI_PPM";"CD_PPM";"CO_PPM";"CR_PPM";"CU_PPM";"LA_PPM";"MN_PPM";"MO_PPM";"NB_PPM";"NI_PPM";"PB_PPM";"SB_PPM";"SC_PPM";"SN_PPM";"SR_PPM";"V_PPM";"W_PPM";"Y_PPM";"ZN_PPM";"ZR_PPM";"F_PPM";"U_PPM";"CA_PCT";"FE_PCT";"MG_PCT";"TI_PCT"
228;"DBX596";"cartas_100M";-51.257626141;-3.828225419;"1511-VR-L-041";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"150";"ND";"ND";"ND";"50";"150";"70";"< 20";"1000";"ND";"< 10";"100";"< 10";"ND";"20";"ND";"ND";"150";"ND";"30";"ND";"100";;;"0,5";"7";"0,2";"1"
229;"DBX597";"cartas_100M";-51.257626682;-3.830034776;"1511-VR-L-042";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"100";"< 1";"ND";"ND";"7";"30";"20";"ND";"300";"ND";"10";"20";"10";"ND";"10";"ND";"ND";"100";"ND";"< 10";"ND";"150";;;"0,05";"3";"0,05";"0,5"
230;"DBX598";"cartas_100M";-51.258527614;-3.830939182;"1511-VR-L-043";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"50";"< 1";"ND";"ND";"< 5";"20";"5";"ND";"150";"ND";"10";"10";"< 10";"ND";"5";"ND";"ND";"70";"ND";"10";"ND";"200";;;"< 0,05";"1,5";"0,02";"0,7"
231;"DBX599";"cartas_100M";-51.260329757;-3.83365267;"1511-VR-L-045";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"300";"ND";"ND";"ND";"ND";"< 10";"< 5";"< 20";"100";"ND";"< 10";"< 5";"20";"ND";"< 5";"ND";"ND";"30";"ND";"10";"ND";"700";;;"0,05";"1";"0,03";"0,2"
232;"DBX600";"cartas_100M";-51.258528701;-3.834557896;"1511-VR-L-046";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"300";"< 1";"ND";"ND";"< 5";"< 10";"< 5";"< 20";"200";"ND";"< 10";"< 5";"50";"ND";"< 5";"ND";"ND";"30";"ND";"< 10";"ND";"300";;;"0,05";"1,5";"0,05";"0,15"
233;"DBX601";"cartas_100M";-51.259429912;-3.836366979;"1511-VR-L-047";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"2000";"< 1";"ND";"ND";"20";"10";"10";"20";"1000";"ND";"10";"10";"100";"ND";"< 5";"ND";"< 100";"50";"ND";"10";"ND";"500";;;"7,0000000000000007E-2";"2";"0,03";"0,2"
234;"DBX602";"cartas_100M";-51.2603314;-3.839080739;"1511-VR-L-048";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"500";"ND";"ND";"ND";"10";"10";"10";"< 20";"500";"ND";"< 10";"10";"70";"ND";"5";"ND";"< 100";"30";"ND";"10";"ND";"500";;;"7,0000000000000007E-2";"1";"0,05";"0,2"
235;"DBX603";"cartas_100M";-51.260332223;-3.841794773;"1511-VR-L-049";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"150";"ND";"ND";"ND";"< 5";"< 10";"< 5";"ND";"200";"ND";"< 10";"ND";"< 10";"ND";"5";"ND";"ND";"30";"ND";"10";"ND";"> 1000";;;"0,05";"0,7";"0,03";"0,5"
236;"DBX604";"cartas_100M";-51.261233446;-3.843603853;"1511-VR-L-050";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"200";"< 1";"ND";"ND";"5";"< 10";"< 5";"ND";"300";"ND";"< 10";"< 5";"10";"ND";"< 5";"ND";"ND";"30";"ND";"15";"ND";"> 1000";;;"< 0,05";"1";"0,02";"1"
237;"DBX605";"cartas_100M";-51.263036459;-3.849031365;"1511-VR-L-053";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"< 10";"50";"ND";"ND";"ND";"5";"10";"10";"ND";"200";"ND";"10";"5";"< 10";"ND";"5";"ND";"ND";"30";"ND";"10";"ND";"1000";;;"< 0,05";"1";"0,02";"1"
238;"DBX606";"cartas_100M";-51.324078246;-3.721953874;"1511-VR-L-062";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"70";"ND";"ND";"ND";"5";"70";"20";"< 20";"200";"ND";"10";"20";"50";"ND";"10";"ND";"ND";"100";"ND";"10";"ND";"300";;;"< 0,05";"5";"0,03";"1"
239;"DBX607";"cartas_100M";-51.320635209;-3.727785207;"1511-VR-L-063";"Grande Carajás - Folha Altamira";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"10";"150";"< 1";"ND";"ND";"5";"30";"15";"ND";"200";"ND";"10";"15";"50";"ND";"7";"ND";"ND";"70";"ND";"< 10";"ND";"500";;;"< 0,05";"2";"0,03";"> 1"
240;"DAF185";;-53.76262795;-3.768349256;"1521-AV-L-035";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"20";"100";"< 1";"ND";"ND";"< 5";"20";"20";"20";"300";"ND";"20";"5";"15";"ND";"5";"ND";"< 100";"50";"ND";"15";"ND";"> 1000";;;"0,3";"0,7";"0,1";"1"
241;"DAF186";;-53.771194009;-3.778295403;"1521-AV-L-036";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"50";"100";"< 1";"ND";"ND";"< 5";"70";"7";"50";"200";"< 5";"20";"20";"20";"ND";"10";"ND";"< 100";"70";"ND";"20";"ND";"> 1000";;;"0,05";"1,5";"0,15";"> 1"
242;"DAF187";;-53.767006158;-3.785433786;"1521-AV-L-037";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"< 0,5";"ND";"ND";"30";"100";"< 1";"ND";"ND";"< 5";"200";"7";"30";"70";"ND";"20";"20";"30";"ND";"10";"ND";"< 100";"70";"ND";"20";"ND";"> 1000";;;"< 0,05";"1";"0,1";"1"
243;"DAF188";;-53.755204032;-3.779532723;"1521-AV-L-038";"Sulfetos de Altamira-Itaituba";"Solo";"Espectrografia Ótica de Emissão";"SGB-CPRM - Rigeo";"ND";"ND";"ND";"30";"150";"< 1";"ND";"ND";"< 5";"100";"10";"30";"100";"< 5";"20";"20";"30";"ND";"10";"ND";"< 100";"70";"ND";"20";"ND";"> 1000";;;"< 0,05";"1";"0,15";"1"
